0|None|0|Status|???|-|0|0%|This move does not exist.|0|0|This move probably won't go over too well in contest.
63|Hyper Beam|0|Special|Cool|5|150|90%|1st turn attack, 2nd turn skip turn|4|4|-4 to all other pokemon, skip next round of appeals
64|Peck|9|Physical|Cool|35|35|100%|Jabs the foe with a beak, etc.|4|0|A highly appealing move.
65|Drill Peck|9|Physical|Cool|20|80|100%|A strong, spinning-peck attack.|4|0|A highly appealing move. +4 points if peck was used in the previous round.
66|Submission|6|Physical|Cool|25|80|80%|user takes 1/4 of the damage (before weakness) onto itself|6|0|for the rest of the round if this pokemon would lose points, they lose 2x the points instead. +6 points if mind reader was used in the previous round.
67|Low Kick|6|Physical|Tough|20|*|100%|deals damage based on weight where, <= 20lbs = 20, 21-60lbs = 40, 61-120lbs = 60, 121-220lbs = 80, 221-440lbs = 100, 441+lbs = 120|1|4|-4 points to pokemon in first place
68|Counter|6|Physical|Tough|20|-|100%|if hit by a physical attack after using this, deal 2x damage to pokemon who dealt the damage|2|0|the next time you would lose points this round, you do not (one time only). +2 points if taunt was used in the previous turn.
69|Seismic Toss|6|Physical|Tough|20|*|100%|Damage dealt is equal to user's level|2|1|-1 points to all pokemon who made a "tough" appeal this round. +2 points if fake out was used in the previous round.
70|Strength|0|Physical|Tough|15|80|100%|A powerful physical attack.|2|1|-1 points to all pokemon who made a "tough" appeal this round
71|Absorb|4|Special|Smart|25|20|100%|Heals user by 1/2 damage inflicted|2|3|-3 points to the pokemon who appealed immediately before this one. +2 points if growth was used in the previous round.
72|Mega Drain|4|Special|Smart|15|40|100%|Heals user by 1/2 damage inflicted|1|4|-4 points to pokemon in first place. +1 points if growth was used in the previous round.
73|Leech Seed|4|Status|Smart|10|-|90%|opposing pokemon takes 1d6 of damage per turn and heals current active pokemon by the same amount, if opposing pokemon is badly poisoned, this increments the number of dice they have to use|2|2|-2 to all pokemon who have already performed this round. +2 points if growth was used in the previous round.
74|Growth|0|Status|Beautiful|40|-|-|Increases user's SP. ATK by 20 points for the remainder of the battle or until pokemon switches out (whichever comes first)|1|0|this pokemon cannot lose points this round
75|Razor Leaf|4|Physical|Cool|25|55|95%|lands a critical hit if 17 or higher is rolled on the status die|3|0|+3 points if growth was used the round before this +2 points if appeal of pokemon in first place is 3 points or higher. +3 points if growth was used in the previous round.
76|Solar Beam|4|Special|Cool|10|120|100%|1st turn, absorb energy. 2nd turn, attack. Can use in only 1 turn if sunny day is active|4|0|A highly appealing move., +4 appeal points if sunny day or growth were used in the previous round.
77|Poison Powder|7|Status|Smart|35|-|75%|poisons the opposing pokemon if it hits|3|0|+3 points if sweet scent was used in the prior round
78|Stun Spore|4|Status|Smart|30|-|75%|paralyzes the opposing pokemon if it hits|2|1|-1 points to all pokemon who scored 3 points or more this round +3 points sweet scent was used in the prior round.
79|Sleep Powder|4|Status|Smart|15|-|75%|puts opposing pokemon to sleep if it hits|1|3|-3 points to all pokemon who have made appeals this turn, +3 points if sweet scent was used in the prior round.
80|Petal Dance|4|Special|Beautiful|20|90|100%|move lasts for 2-3 turns. roll 10 or higher on status die to continue to 3rd turn. Pokemon which used this becomes confused after turn ends|4|4|-4 points to all other pokemon, skip next round of appeals. +4 points if growth was used in the previous round.
81|String Shot|11|Status|Smart|40|-|95%|Decreases opposing pokemon's SPD by 20 points for remainder of battle or until opposing pokemons switches out (whichever comes first)|2|3|-3 points to the pokemon who appealed immediately before this one.
82|Dragon Rage|14|Special|Cool|10|*|100%|Always inflicts 40HP of damage|1|0|+3 points if user appeals last, +2 points if user appeals 3rd, +1 point if user appeals 2nd. +1 points if dragon breath or dragon dance was used in the previous round.
83|Fire Spin|1|Special|Beautiful|15|15|70%|Attack continues for 2-5 turns (as long as the move keeps succeeding). opposing pokemon cannot move while trapped, it can still attack.|3|0|No other pokemon may earn points this round. +4 points if sunny day was used in the previous round.
84|Thunder Shock|3|Special|Cool|30|40|100%|Roll 18 or higher on the status die to paralyze opposing pokemon.|4|0|A highly appealing move. +4 points if charge was used in the previous round.
85|Thunderbolt|3|Special|Cool|15|95|100%|Roll 18 or higher on the status die to paralyze opposing pokemon|4|0|A highly appealing move. +4 points if charge was used in the previous round.
86|Thunder Wave|3|Status|Cool|20|-|100%|paralyzes opposing pokemon|2|1|-1 points to all pokemon who scored 3 points or more this round. +2 points if charge was used in the previous round.
87|Thunder|3|Special|Cool|10|120|70%|Roll 18 or higher on the status die to paralyze opposing pokemon.|2|2|-2 points to all pokemon who have appealed this turn. +2 points if charge, lock-on, or rain dance were used in the previous round.
88|Rock Throw|12|Physical|Tough|15|50|90%|Drops rocks on the enemy.|2|0|+ 2 points if pokemon immediately before this one made a "tough" appeal.
89|Earthquake|8|Physical|Tough|10|100|100%|An attack that inflicts damage by shaking the ground.|1|3|-3 points to all pokemon who have already appealed this turn.
90|Fissure|8|Physical|Tough|5|-|30%|One-hit KO if the attack hits.|2|1|-1 points to all pokemon who scored 3 points or more this round. +2 points if earthquake was used in the previous round.
91|Dig|8|Physical|Tough|10|80|100%|1st turn burrow becoming invulnerable, 2nd turn attack.(can be hit if lock-on, mind-reader etc. were used in the previous turn.) Can be hit by Magnitude and Earthquake between 1st and 2nd turn.|1|0|This pokemon cannot lose points for the rest of the round.
92|Toxic|7|Status|Smart|10|-|85%|badly poisons the target if it hits.|3|0|for all pokemon who have already appealed: if they would lose points this round they lose 2x as many instead.
93|Confusion|10|Special|Smart|25|50|100%|Roll 18 or higher on the status die to confuse opposing pokemon.|2|3|-3 points to the pokemon who appealed immediately before this one. +2 points if calm mind, kinesis, or psychic were used in the previous round.
94|Psychic|10|Special|Smart|10|90|100%|Lowers oppsing pokemon's SP. DEF by 20 points if 14 or higher is rolled on the status die.|1|3|-3 points to all pokemon who have made appeals this turn. +1 points if calm mind, confusion, or kinesis were used in the previous round.
95|Hypnosis|10|Status|Smart|20|-|70%|puts the opposing pokemon to sleep if it hits.|1|3|-3 points to all pokemon who have made appeals already this turn.
96|Meditate|10|Status|Beautiful|40|-|-|Increases user's ATK by 20 points for the remainder of the battle or until pokemon switches out (whichever comes first)|1|0|This pokemon cannot lose points for the remainder of the round. +1 points if calm mind was used in the previous round.
97|Agility|10|Status|Cool|30|-|-|Increases user's SPD by 40 points for the remainder of the battle or until the pokemon switches out (whichever comes first)|3|0|Guarantees this pokemon will perform first in the next round regardless of score. +3 points if double team was used in the previous round.
98|Quick Attack|0|Physical|Cool|30|40|100%|this attack always strikes first.|3|0|Gurantees this pokemon will appeal first next round, regardless of points. +3 points if double team was used in the previous round.
99|Rage|0|Physical|Tough|20|20|100%|User's ATK increases by 20 points every time they are damaged. This increase lasts until the end of battle or until the pokemon switches out. This move continues until pokemon switches out, battle ends, or until pokemon faints.|3|0|Can be used repeatedly without penalty.
100|Teleport|10|Status|Cool|20|-|-|if used in a battle with a wild pokemon, battle ends. If used in battle against a trainer, same effect as switching out. Teleport counts as moving.|1|0|This pokemon cannot lose points for the remainder of the round. +1 points if confusion, double team, kinesis, or psychic were used in the previous round.
101|Night Shade|13|Special|Smart|15|-|100%|Deals damage equal to the user's level|2|1|-1 points to any pokemon who made a "smart" appeal this turn.
102|Mimic|0|Status|Cute|10|-|-|Copy 1 move from opposing pokemon's moveset|1|0|+? points, gives as many points as the move before it.
103|Screech|0|Status|Smart|40|-|85%|lowers opposing pokemon's DEF by 40 points  for the remainder of the battle or until user switches out (whichever comes first)|1|3|-3 points to all pokemon who have appealed this turn.
104|Double Team|0|Status|Cool|15|-|-|Reduces the accuracy of all pokemon's attacks against the user by 10% until the remainder of the battle or until the user switches out (whichever comes first).|2|0|can avoid losing points once this round.
105|Recover|0|Status|Smart|20|-|-|Restores HP by 1/2 of max HP|2|1|-1 points to all pokemon who made a "smart" appeal this turn.
106|Harden|0|Status|Tough|30|-|-|Raises the user's DEF by 20 points for the remainder of the battle or until user switches out (whichever comes first)|2|0|can avoid losing points once this round.
107|Minimize|0|Status|Cute|20|-|-|Reduces the accuracy of all pokemon attacks directed towards the user by 10% for the remainder of the battle or until user switches out (whichever comes first). Stomp now does 2x damage.|2|0|Can avoid losing points once this round.
108|Smokescreen|0|Status|Smart|20|-|100%|Reduces the accuracy of opposing pokemon's attacks by 10% for the remainder of the battle or until user switches out (whichever comes first)|3|0|All pokemon must roll to determine turn order next round (regardless of current score). +3 points if smog was used in the previous round.
109|Confuse Ray|13|Status|Smart|10|-|100%|Causes confusion.|3|0|All pokemon must roll to determine turn order next round (regardless of current score).
110|Withdraw|2|Status|Cute|40|-|-|Raises user's DEF by 20 points for the remainder of the battle or until user switches out (whichever comes first)|1|0|Cannot lose points for the rest of the round.
111|Defense Curl|0|Status|Cute|40|-|-|Increases user's DEF by 20 points for the remainder of the battle or until user switches out (whichever comes first)|2|0|Can avoid losing points once this round.
112|Barrier|10|Status|Cool|30|-|-|+40 points to user's DEF for the remainder of the battle or until that pokemon switches out (whichever comes first)|1|0|Cannot lose points for the remainder of the round.
113|Light Screen|10|Status|Beautiful|30|-|-|Reduces damage from special attacks by half|1|0|cannot be startled by others for the remainder of the round. +1 points if calm mind was used in the previous round.
114|Haze|5|Status|Beautiful|30|-|-|Eliminate all temporary changes to all stats for both pokemon.|3|0|For any pokemon who have made appeals this turn: if those pokemon would lose points, they lose 2x that many instead. +3 points if either hail or powder snow were used in the previous round.
115|Reflect|10|Status|Smart|20|-|-|Reduces damage from physical attacks by half|1|0|Cannot lose points for the remainder of the round. +1 points if calm mind was used in the previous round.
116|Focus Energy|0|Status|Cool|30|-|-|For the rest of the battle rolling a 17 or higher on the status die will be counted as a critical hit (or until the pokemon switches out, whichever comes first)|1|3|-3 points to all pokemon who have appealed already this round.
117|Bide|0|Physical|Tough|10|-|-|Wait for 2-3 turns and then deal back double all damage recieved during those turns. Roll 11 or higher on status die on the 2nd turn to keep the move going.|1|0|Cannot lose points for the remainder of the round.
118|Metronome|0|Status|Cute|10|-|-|Randomly use any pokemon move|3|0|Can be used repeatedly without losing points.
119|Mirror Move|9|Status|Smart|20|-|-|Counter's the foe's attack with the same move.|1|0|+? points. gets as many points as the move before it.
120|Self-Destruct|0|Physical|Beautiful|5|200|100%|Powerful, but makes the user faint.|8|0|Cannot make any more appeals for the remainder of the contest.
121|Egg Bomb|0|Physical|Cute|10|100|75%|Eggs are hurled at the foe.|4|0|A highly appealing move.
122|Lick|13|Physical|Cute|30|20|100%|Roll 14 or higher on status die to paralyze opposing pokemon|1|4|-4 points to pokemon in first place
123|Smog|7|Special|Tough|20|20|70%|Roll 11 or higher on status die to poison opposing pokemon|1|3|-3 points to all pokemon who have made appeals this turn
124|Sludge|7|Special|Tough|20|65|100%|Roll 11 or higher on status die to poison opposing pokemon|1|4|-4 points to pokemon in first place. +1 points if sludge bomb was used in the previous round.
125|Bone Club|8|Physical|Tough|20|65|85%|Roll 14 or higher on the status die to make opposing pokemon flinch|2|1|-1 points to pokemon in first place.
126|Fire Blast|1|Special|Beautiful|5|120|85%|Roll 14 or higher on the status die to burn opposing pokemon|4|0|A highly appealing move. +4 points if sunny day was used in the previous round.
127|Waterfall|2|Physical|Tough|15|80|100%|Roll 17 or higher on the status die to make opposing pokemon flinch|2|1|+2 points if user appeals last. +2 points if the move rain dance was used in the previous turn.
128|Clamp|2|Physical|Tough|10|35|75%|Traps the opposing pokemon for 2-5 turns (opponent can move while being attacked). Starting at turn 2, roll 11 on the status die to keep the attack going.|3|0|All pokemon who appeal after you cannot gain points from appeals. +3 points if rain dance was used in the previous round.
129|Swift|0|Special|Cool|20|60|-|Never misses.|2|0|+2 points if performed from first place.
130|Skull Bash|0|Physical|Tough|15|100|100%|1st turn, lowers head. 2nd turn attack.|1|4|-4 points to pokemon in first place.
131|Spike Cannon|0|Physical|Cool|15|20|100%|Attacks between 2-5 times consecutively. Starting after attack 2, must roll 11 or higher on status die to keep the attack going.|2|1|-1 points to pokemon in first place
132|Constrict|0|Physical|Tough|35|10|100%|Roll 14 or higher on the status die to reduce opposing pokemon's SPD by 20 points for the remainder of the battle or until pokemon switches out (whichever comes first)|2|3|-3 points to the pokemon who appealed immediately before you
133|Amnesia|10|Status|Cute|20|-|-|Increase user's SP. DEF stat by 40 points|1|0|Cannot lose points for the remainder of the round.
134|Kinesis|10|Status|Smart|15|-|80%|Decrease the accuracy of opposing pokemon's moves by 10% for remainder of battle or until the pokemon switches out (whichever comes first)|3|0|Any pokemon who appeal after this recieve 0 points for their appeals. +3 points if confusion or psychic were used in the previous round.
135|Soft-Boiled|0|Status|Cute|10|-|-|Restores 1/2 of the user's maximum HP. Can be used outside of battle to reduce own HP by 20 and increase another pokemon's HP by 20.|4|0|A highly appealing move.
136|High Jump Kick|6|Physical|Cool|20|100|90%|If attack misses, take 1/8 of damage done (before weakness) on self|6|0|For the remainder of the round, if you would lose points; you lose 2x as many instead. +6 points if mind reader was used in the previous round.
137|Glare|0|Status|Tough|30|-|75%|paralyzes opposing pokemon.|1|3|-3 points to all pokemon who made appeals this turn. +1 points if leer was used in the previous round.
138|Dream Eater|10|Special|Smart|15|100|100%|Works only on sleeping pokemon. User gets healed by same amount as damage given|2|2|-2 points to all pokemon who have already appealed this turn. +2 points if calm mind or hypnosis were used in the previous round.
139|Poison Gas|7|Status|Smart|40|-|55%|poisons the opposing pokemon.|3|0|For the rest of the turn, no pokemon who make appeals can earn points.
140|Barrage|0|Physical|Cute|20|15|85%|Throws orbs to hit 2-5 times. Starting after 2nd hit, must roll 11 or higher on the status die to keep the attack going.|2|0|+2 points if pokemon immediately before this one made a "tough" appeal.
141|Leech Life|11|Physical|Smart|15|20|100%|Heals the user for 1/2 of damage done.|2|3|-3 points to the pokemon who appealed right before this one.
142|Lovely Kiss|0|Status|Beautiful|10|-|75%|puts opposing pokemon to sleep.|1|3|-3 points to all pokemon who have already appealed this turn.
143|Sky Attack|9|Physical|Cool|5|140|90%|1st turn, store energy. 2nd turn, attack.|3|0|+3 points if the pokemon in first place scores 3 points or higher.
144|Transform|0|Status|Smart|10|-|-|User transforms into a copy of the opposing pokemon (including moveset, held items are not copied)|3|0|Can be used repeatedly without losing points.
145|Bubble|2|Special|Cute|30|20|100%|Roll 14 or higher on the status die to reduce opposing pokemon's SPD by 20 points for the remainder of the battle or until that pokemon switches out (whichever comes first)|2|2|-2 points to all pokemon who have already appealed this turn. +2 points if rain dance was used in the previous turn.
146|Dizzy Punch|0|Physical|Cute|10|70|100%|Roll 17 or higher on the status die to confuse opposing pokemon.|1|4|-4 points to the pokemon in first place.
147|Spore|4|Status|Beautiful|15|-|100%|puts opposing pokemon to sleep.|1|3|-3 points to all pokemon who have made appeals this turn.
148|Flash|0|Status|Beautiful|20|-|100%|Reduces opposing pokemon's accuracy by 10% for the remainder of the battle or until the pokemon switches out (whichever comes first)|3|0|Other pokemon cannot gain points for appeals for the rest of the round.
149|Psywave|10|Special|Smart|15|-|80%|Damage is equal to 5 x 1d20|2|1|-1 points to all pokemon who scored 3 points or more this round. +2 points if calm mind was used in the previous round.
150|Splash|0|Status|Cute|40|-|-|Absolutely useless.|2|0|+2 points if performed from last place.
151|Acid Armor|7|Status|Tough|40|-|-|Raises user's DEF by 40 points for the remainder of the battle or until user switches out (whichever comes first)|1|0|Cannot lose points for the rest of the round.
152|Crabhammer|2|Physical|Tough|10|90|85%|Roll 17 or higher on the status die to score a critical hit for this attack.|3|0|+3 points if pokemon in first place scores 3 points or higher this round. +3 points if swords dance or rain dance were used in the previous round.
153|Explosion|0|Physical|Beautiful|5|250|100%|Very powerful but makes the user faint.|8|0|Cannot appeal for the remainder of the contest.
154|Fury Swipes|0|Physical|Tough|15|18|80%|Target is scratched 2-5 times. Must roll higher than 11 on the status die to keep the attack going for every hit past the 2nd.|2|1|-1 points to the pokemon who currently holds the most points. +2 points if scratch was used in the previous round.
155|Bonemerang|8|Physical|Tough|10|50|90%|An attack that strikes twice. (still counts as a single attack.)|4|0|A highly appealing move.
156|Rest|10|Status|Cute|10|-|-|User recovers HP fully, user falls asleep.|2|0|Can avoid losing points once this round. +2 points if belly drum, charm, or yawn were used in the previous round.
157|Rock Slide|12|Physical|Tough|10|75|90%|Roll 17 or higher on the status die to make opposing pokemon flinch.|1|3|-3 points to all pokemon who have made appeals this round. +1 points if the move rock throw was used in the previous round.
158|Hyper Fang|0|Physical|Cool|15|80|90%|Roll 18 or higher on the status die to make opponent flinch.|1|4|-4 points to the pokemon in first place.
159|Sharpen|0|Status|Cute|30|-|-|Raises the user's ATK by 20 points for the remainder of the battle or until the pokemon switches out (whichever comes first).|1|0|Cannot lose points for the rest of the round.
160|Conversion|0|Status|Beautiful|30|-|-|Changes the user's type into the same type as one of the opposing pokemon's moves.|2|0|+2 points if the pokemon immediately before this one made a "beautiful" appeal.
161|Tri Attack|0|Special|Beautiful|10|80|100%|Fires three kinds of beams at once.|2|2|-2 points to all pokemon who have made appeals this turn. +2 points if lock on was used in the previous round.
162|Super Fang|0|Physical|Tough|10|-|90%|Reduces the opposing pokemon's HP by 1/2|2|1|-1 points to all pokemon scored at least 3 points this turn.
163|Slash|0|Physical|Cool|20|70|100%|Roll 17 or higher on the status die to score a critical hit.|3|0|+3 points if pokemon in first place scores at least 3 points this round. +3 points if either scratch or swords dance were used in the previous round.
164|Substitute|0|Status|Cute|10|-|-|Makes a decoy using 1/4 of the user's max HP. (breaks after it is hit with ONE attack)|2|0|Can avoid losing points once this turn.
165|Struggle|0|Physical|Tough|1|50|-|Used only if all PP is exhausted. User is hit by 1/4 of damage inflicted.|4|0|A highly appealing move.
166|Sketch|0|Status|Smart|1|-|-|Used to permanently learn the last move learned by the opposing pokemon. (Sketch is replaced in the process)|1|0|+? points, where ? is enough points to equal the number of points of the appeal right before this one.
